category_id,department,subcategory,category_path
1,Electronics,Mobiles 01,Electronics > Mobiles
2,Electronics,Mobiles 02,Electronics > Mobiles
3,Electronics,Mobiles 03,Electronics > Mobiles
4,Electronics,Mobiles 04,Electronics > Mobiles
5,Electronics,Mobiles 05,Electronics > Mobiles
6,Electronics,Laptops 01,Electronics > Laptops
7,Electronics,Laptops 02,Electronics > Laptops
8,Electronics,Laptops 03,Electronics > Laptops
9,Electronics,Laptops 04,Electronics > Laptops
10,Electronics,Laptops 05,Electronics > Laptops
11,Electronics,Audio 01,Electronics > Audio
12,Electronics,Audio 02,Electronics > Audio
13,Electronics,Audio 03,Electronics > Audio
14,Electronics,Audio 04,Electronics > Audio
15,Electronics,Audio 05,Electronics > Audio
16,Electronics,Cameras 01,Electronics > Cameras
17,Electronics,Cameras 02,Electronics > Cameras
18,Electronics,Cameras 03,Electronics > Cameras
19,Electronics,Cameras 04,Electronics > Cameras
20,Electronics,Cameras 05,Electronics > Cameras
21,Electronics,Accessories 01,Electronics > Accessories
22,Electronics,Accessories 02,Electronics > Accessories
23,Electronics,Accessories 03,Electronics > Accessories
24,Electronics,Accessories 04,Electronics > Accessories
25,Electronics,Accessories 05,Electronics > Accessories
26,Home,Furniture 01,Home > Furniture
27,Home,Furniture 02,Home > Furniture
28,Home,Furniture 03,Home > Furniture
29,Home,Furniture 04,Home > Furniture
30,Home,Furniture 05,Home > Furniture
31,Home,Kitchen 01,Home > Kitchen
32,Home,Kitchen 02,Home > Kitchen
33,Home,Kitchen 03,Home > Kitchen
34,Home,Kitchen 04,Home > Kitchen
35,Home,Kitchen 05,Home > Kitchen
36,Home,Bedding 01,Home > Bedding
37,Home,Bedding 02,Home > Bedding
38,Home,Bedding 03,Home > Bedding
39,Home,Bedding 04,Home > Bedding
40,Home,Bedding 05,Home > Bedding
41,Home,Decor 01,Home > Decor
42,Home,Decor 02,Home > Decor
43,Home,Decor 03,Home > Decor
44,Home,Decor 04,Home > Decor
45,Home,Decor 05,Home > Decor
46,Home,Appliances 01,Home > Appliances
47,Home,Appliances 02,Home > Appliances
48,Home,Appliances 03,Home > Appliances
49,Home,Appliances 04,Home > Appliances
50,Home,Appliances 05,Home > Appliances
51,Fashion,Men 01,Fashion > Men
52,Fashion,Men 02,Fashion > Men
53,Fashion,Men 03,Fashion > Men
54,Fashion,Men 04,Fashion > Men
55,Fashion,Men 05,Fashion > Men
56,Fashion,Women 01,Fashion > Women
57,Fashion,Women 02,Fashion > Women
58,Fashion,Women 03,Fashion > Women
59,Fashion,Women 04,Fashion > Women
60,Fashion,Women 05,Fashion > Women
61,Fashion,Kids 01,Fashion > Kids
62,Fashion,Kids 02,Fashion > Kids
63,Fashion,Kids 03,Fashion > Kids
64,Fashion,Kids 04,Fashion > Kids
65,Fashion,Kids 05,Fashion > Kids
66,Fashion,Footwear 01,Fashion > Footwear
67,Fashion,Footwear 02,Fashion > Footwear
68,Fashion,Footwear 03,Fashion > Footwear
69,Fashion,Footwear 04,Fashion > Footwear
70,Fashion,Footwear 05,Fashion > Footwear
71,Fashion,Accessories 01,Fashion > Accessories
72,Fashion,Accessories 02,Fashion > Accessories
73,Fashion,Accessories 03,Fashion > Accessories
74,Fashion,Accessories 04,Fashion > Accessories
75,Fashion,Accessories 05,Fashion > Accessories
76,Beauty,Skincare 01,Beauty > Skincare
77,Beauty,Skincare 02,Beauty > Skincare
78,Beauty,Skincare 03,Beauty > Skincare
79,Beauty,Skincare 04,Beauty > Skincare
80,Beauty,Skincare 05,Beauty > Skincare
81,Beauty,Makeup 01,Beauty > Makeup
82,Beauty,Makeup 02,Beauty > Makeup
83,Beauty,Makeup 03,Beauty > Makeup
84,Beauty,Makeup 04,Beauty > Makeup
85,Beauty,Makeup 05,Beauty > Makeup
86,Beauty,Haircare 01,Beauty > Haircare
87,Beauty,Haircare 02,Beauty > Haircare
88,Beauty,Haircare 03,Beauty > Haircare
89,Beauty,Haircare 04,Beauty > Haircare
90,Beauty,Haircare 05,Beauty > Haircare
91,Beauty,Fragrance 01,Beauty > Fragrance
92,Beauty,Fragrance 02,Beauty > Fragrance
93,Beauty,Fragrance 03,Beauty > Fragrance
94,Beauty,Fragrance 04,Beauty > Fragrance
95,Beauty,Fragrance 05,Beauty > Fragrance
96,Beauty,Personal Care 01,Beauty > Personal Care
97,Beauty,Personal Care 02,Beauty > Personal Care
98,Beauty,Personal Care 03,Beauty > Personal Care
99,Beauty,Personal Care 04,Beauty > Personal Care
100,Beauty,Personal Care 05,Beauty > Personal Care
101,Grocery,Staples 01,Grocery > Staples
102,Grocery,Staples 02,Grocery > Staples
103,Grocery,Staples 03,Grocery > Staples
104,Grocery,Staples 04,Grocery > Staples
105,Grocery,Staples 05,Grocery > Staples
106,Grocery,Snacks 01,Grocery > Snacks
107,Grocery,Snacks 02,Grocery > Snacks
108,Grocery,Snacks 03,Grocery > Snacks
109,Grocery,Snacks 04,Grocery > Snacks
110,Grocery,Snacks 05,Grocery > Snacks
111,Grocery,Beverages 01,Grocery > Beverages
112,Grocery,Beverages 02,Grocery > Beverages
113,Grocery,Beverages 03,Grocery > Beverages
114,Grocery,Beverages 04,Grocery > Beverages
115,Grocery,Beverages 05,Grocery > Beverages
116,Grocery,Household 01,Grocery > Household
117,Grocery,Household 02,Grocery > Household
118,Grocery,Household 03,Grocery > Household
119,Grocery,Household 04,Grocery > Household
120,Grocery,Household 05,Grocery > Household
121,Grocery,Organic 01,Grocery > Organic
122,Grocery,Organic 02,Grocery > Organic
123,Grocery,Organic 03,Grocery > Organic
124,Grocery,Organic 04,Grocery > Organic
125,Grocery,Organic 05,Grocery > Organic
126,Sports,Fitness 01,Sports > Fitness
127,Sports,Fitness 02,Sports > Fitness
128,Sports,Fitness 03,Sports > Fitness
129,Sports,Fitness 04,Sports > Fitness
130,Sports,Fitness 05,Sports > Fitness
131,Sports,Outdoor 01,Sports > Outdoor
132,Sports,Outdoor 02,Sports > Outdoor
133,Sports,Outdoor 03,Sports > Outdoor
134,Sports,Outdoor 04,Sports > Outdoor
135,Sports,Outdoor 05,Sports > Outdoor
136,Sports,Running 01,Sports > Running
137,Sports,Running 02,Sports > Running
138,Sports,Running 03,Sports > Running
139,Sports,Running 04,Sports > Running
140,Sports,Running 05,Sports > Running
141,Sports,Team Sports 01,Sports > Team Sports
142,Sports,Team Sports 02,Sports > Team Sports
143,Sports,Team Sports 03,Sports > Team Sports
144,Sports,Team Sports 04,Sports > Team Sports
145,Sports,Team Sports 05,Sports > Team Sports
146,Sports,Cycling 01,Sports > Cycling
147,Sports,Cycling 02,Sports > Cycling
148,Sports,Cycling 03,Sports > Cycling
149,Sports,Cycling 04,Sports > Cycling
150,Sports,Cycling 05,Sports > Cycling
151,Books,Fiction 01,Books > Fiction
152,Books,Fiction 02,Books > Fiction
153,Books,Fiction 03,Books > Fiction
154,Books,Fiction 04,Books > Fiction
155,Books,Fiction 05,Books > Fiction
156,Books,Nonfiction 01,Books > Nonfiction
157,Books,Nonfiction 02,Books > Nonfiction
158,Books,Nonfiction 03,Books > Nonfiction
159,Books,Nonfiction 04,Books > Nonfiction
160,Books,Nonfiction 05,Books > Nonfiction
161,Books,Academic 01,Books > Academic
162,Books,Academic 02,Books > Academic
163,Books,Academic 03,Books > Academic
164,Books,Academic 04,Books > Academic
165,Books,Academic 05,Books > Academic
166,Books,Children 01,Books > Children
167,Books,Children 02,Books > Children
168,Books,Children 03,Books > Children
169,Books,Children 04,Books > Children
170,Books,Children 05,Books > Children
171,Books,Comics 01,Books > Comics
172,Books,Comics 02,Books > Comics
173,Books,Comics 03,Books > Comics
174,Books,Comics 04,Books > Comics
175,Books,Comics 05,Books > Comics
176,Toys,Games 01,Toys > Games
177,Toys,Games 02,Toys > Games
178,Toys,Games 03,Toys > Games
179,Toys,Games 04,Toys > Games
180,Toys,Games 05,Toys > Games
181,Toys,Learning 01,Toys > Learning
182,Toys,Learning 02,Toys > Learning
183,Toys,Learning 03,Toys > Learning
184,Toys,Learning 04,Toys > Learning
185,Toys,Learning 05,Toys > Learning
186,Toys,Outdoor 01,Toys > Outdoor
187,Toys,Outdoor 02,Toys > Outdoor
188,Toys,Outdoor 03,Toys > Outdoor
189,Toys,Outdoor 04,Toys > Outdoor
190,Toys,Outdoor 05,Toys > Outdoor
191,Toys,Collectibles 01,Toys > Collectibles
192,Toys,Collectibles 02,Toys > Collectibles
193,Toys,Collectibles 03,Toys > Collectibles
194,Toys,Collectibles 04,Toys > Collectibles
195,Toys,Collectibles 05,Toys > Collectibles
196,Toys,Baby Toys 01,Toys > Baby Toys
197,Toys,Baby Toys 02,Toys > Baby Toys
198,Toys,Baby Toys 03,Toys > Baby Toys
199,Toys,Baby Toys 04,Toys > Baby Toys
200,Toys,Baby Toys 05,Toys > Baby Toys
201,Automotive,Accessories 01,Automotive > Accessories
202,Automotive,Accessories 02,Automotive > Accessories
203,Automotive,Accessories 03,Automotive > Accessories
204,Automotive,Accessories 04,Automotive > Accessories
205,Automotive,Accessories 05,Automotive > Accessories
206,Automotive,Tools 01,Automotive > Tools
207,Automotive,Tools 02,Automotive > Tools
208,Automotive,Tools 03,Automotive > Tools
209,Automotive,Tools 04,Automotive > Tools
210,Automotive,Tools 05,Automotive > Tools
