campaign_id,campaign_name,channel,campaign_type,start_date,budget,end_date
1,Campaign 001,Affiliate,Clearance,2025-12-20,2667269.31,2025-12-28
2,Campaign 002,Email,Acquisition,2022-07-24,4750330.18,2022-09-25
3,Campaign 003,Organic,Acquisition,2023-05-14,4824725.38,2023-06-17
4,Campaign 004,Meta,Brand,2023-12-05,4703094.4,2024-01-23
5,Campaign 005,Meta,Acquisition,2025-09-11,1898793.79,2025-10-25
6,Campaign 006,Influencer,Retention,2023-05-17,2855783.88,2023-06-21
7,Campaign 007,Push,Retention,2024-11-08,1404275.39,2024-12-29
8,Campaign 008,Google Ads,Clearance,2025-04-01,2553799.2,2025-05-24
9,Campaign 009,Influencer,Retention,2025-09-17,461922.4,2025-11-06
10,Campaign 010,Google Ads,Brand,2024-08-30,1115646.29,2024-09-08
11,Campaign 011,Google Ads,Seasonal,2025-01-04,313073.11,2025-01-30
12,Campaign 012,Affiliate,Clearance,2025-03-04,1682159.64,2025-04-09
13,Campaign 013,Meta,Acquisition,2023-05-18,88047.12,2023-07-16
14,Campaign 014,Meta,Clearance,2024-10-30,2075676.68,2024-11-20
15,Campaign 015,Push,Brand,2022-03-21,593862.38,2022-04-29
16,Campaign 016,Organic,Acquisition,2022-04-06,3478293.06,2022-07-02
17,Campaign 017,Email,Seasonal,2025-06-18,305225.52,2025-07-21
18,Campaign 018,Influencer,Brand,2024-10-27,3529481.86,2025-01-06
19,Campaign 019,Organic,Seasonal,2022-11-11,1012431.14,2022-11-25
20,Campaign 020,Affiliate,Acquisition,2023-12-27,4737072.21,2024-02-03
21,Campaign 021,Organic,Clearance,2024-04-21,1276078.28,2024-06-27
22,Campaign 022,Meta,Acquisition,2024-10-27,4450628.61,2024-11-24
23,Campaign 023,Organic,Retention,2022-12-17,1103983.45,2023-01-28
24,Campaign 024,Influencer,Clearance,2024-06-27,421649.69,2024-08-14
25,Campaign 025,Organic,Clearance,2025-12-30,655533.49,2026-02-27
26,Campaign 026,Google Ads,Seasonal,2023-06-14,4475077.89,2023-09-03
27,Campaign 027,Organic,Acquisition,2023-08-12,370208.38,2023-11-07
28,Campaign 028,Meta,Clearance,2024-11-14,2777662.28,2024-12-11
29,Campaign 029,Google Ads,Seasonal,2023-08-09,137833.47,2023-08-28
30,Campaign 030,Email,Clearance,2024-08-09,2309064.11,2024-10-18
31,Campaign 031,Email,Clearance,2022-10-21,4518721.53,2022-12-03
32,Campaign 032,Organic,Acquisition,2023-04-04,3622573.95,2023-04-28
33,Campaign 033,Influencer,Brand,2022-02-26,3779962.06,2022-04-15
34,Campaign 034,Organic,Clearance,2022-07-29,232831.18,2022-08-10
35,Campaign 035,Organic,Clearance,2026-04-23,2340477.77,2026-07-10
36,Campaign 036,Meta,Retention,2024-10-06,829670.14,2024-12-08
37,Campaign 037,Affiliate,Clearance,2025-09-20,1147335.25,2025-10-14
38,Campaign 038,Email,Brand,2022-10-22,642871.09,2022-12-16
39,Campaign 039,Email,Clearance,2026-05-28,4342149.68,2026-08-24
40,Campaign 040,Affiliate,Clearance,2023-08-09,1201285.59,2023-09-07
41,Campaign 041,Google Ads,Brand,2024-04-20,3767926.22,2024-05-17
42,Campaign 042,Google Ads,Acquisition,2025-08-08,1520014.49,2025-10-21
43,Campaign 043,Email,Retention,2022-03-21,4246221.87,2022-05-09
44,Campaign 044,Push,Seasonal,2025-11-22,4440349.73,2026-02-13
45,Campaign 045,Meta,Retention,2025-04-29,723005.34,2025-05-08
46,Campaign 046,Influencer,Acquisition,2024-03-11,925031.46,2024-05-03
47,Campaign 047,Google Ads,Seasonal,2026-07-15,1728470.57,2026-08-12
48,Campaign 048,Email,Acquisition,2022-01-23,1054521.35,2022-02-17
49,Campaign 049,Push,Clearance,2023-04-05,601789.61,2023-04-14
50,Campaign 050,Influencer,Brand,2022-10-26,1714879.88,2022-11-26
51,Campaign 051,Affiliate,Acquisition,2023-12-09,4684084.21,2024-02-18
52,Campaign 052,Meta,Clearance,2023-01-29,3957023.81,2023-03-13
53,Campaign 053,Google Ads,Acquisition,2023-11-27,3847996.82,2024-01-27
54,Campaign 054,Influencer,Retention,2025-01-09,960975.29,2025-01-25
55,Campaign 055,Affiliate,Brand,2024-04-03,3725703.58,2024-04-21
56,Campaign 056,Email,Clearance,2022-07-31,4798392.62,2022-08-12
57,Campaign 057,Influencer,Acquisition,2026-07-10,980003.95,2026-09-15
58,Campaign 058,Email,Clearance,2024-03-11,4188432.71,2024-06-08
59,Campaign 059,Push,Acquisition,2023-02-04,1630490.16,2023-04-09
60,Campaign 060,Affiliate,Seasonal,2022-02-10,4766520.42,2022-02-28
61,Campaign 061,Email,Retention,2026-02-03,2738043.6,2026-03-14
62,Campaign 062,Organic,Seasonal,2022-04-29,3517758.17,2022-07-07
63,Campaign 063,Google Ads,Acquisition,2022-07-09,4910976.36,2022-08-21
64,Campaign 064,Email,Retention,2025-01-17,3240913.81,2025-02-14
65,Campaign 065,Email,Brand,2022-07-27,862883.97,2022-08-05
66,Campaign 066,Push,Retention,2025-05-12,3018286.3,2025-08-06
67,Campaign 067,Google Ads,Retention,2025-04-13,3963794.85,2025-05-15
68,Campaign 068,Push,Acquisition,2023-01-27,3586939.79,2023-03-08
69,Campaign 069,Push,Clearance,2025-04-30,2500601.11,2025-06-06
70,Campaign 070,Google Ads,Clearance,2026-03-30,4489922.33,2026-05-17
71,Campaign 071,Email,Clearance,2023-08-20,1461986.95,2023-10-08
72,Campaign 072,Organic,Clearance,2023-11-02,982987.09,2024-01-08
73,Campaign 073,Organic,Brand,2023-08-22,3754385.1,2023-09-28
74,Campaign 074,Organic,Brand,2024-12-10,1274058.76,2025-02-17
75,Campaign 075,Email,Seasonal,2023-02-06,1417976.33,2023-05-02
76,Campaign 076,Push,Seasonal,2024-08-08,953960.2,2024-08-28
77,Campaign 077,Affiliate,Seasonal,2024-01-10,4911961.31,2024-03-28
78,Campaign 078,Affiliate,Seasonal,2023-10-21,893313.51,2023-12-29
79,Campaign 079,Organic,Retention,2023-02-18,817876.54,2023-05-11
80,Campaign 080,Meta,Clearance,2022-01-19,4828008.58,2022-03-30
81,Campaign 081,Organic,Retention,2023-04-19,4712869.95,2023-07-03
82,Campaign 082,Google Ads,Seasonal,2022-11-17,3107898.61,2023-01-02
83,Campaign 083,Organic,Retention,2025-01-09,2760347.63,2025-01-27
84,Campaign 084,Organic,Brand,2023-10-25,842977.57,2023-11-06
85,Campaign 085,Influencer,Retention,2023-05-12,1211080.66,2023-06-12
86,Campaign 086,Organic,Retention,2023-02-10,1703057.03,2023-02-21
87,Campaign 087,Influencer,Seasonal,2022-12-22,282033.99,2023-02-10
88,Campaign 088,Organic,Seasonal,2025-07-15,2153678.59,2025-08-30
89,Campaign 089,Email,Acquisition,2026-07-24,2337810.26,2026-08-25
90,Campaign 090,Organic,Brand,2025-01-15,1652387.25,2025-03-26
91,Campaign 091,Google Ads,Clearance,2022-05-23,2807993.46,2022-06-04
92,Campaign 092,Affiliate,Seasonal,2023-03-03,3563505.1,2023-03-19
93,Campaign 093,Push,Seasonal,2022-06-04,2898984.7,2022-07-12
