product_id,sku,product_name,category_id,brand,unit_cost,list_price,supplier_id,weight_kg,launch_date,active_flag
1,SKU-0000001,HomePro Product 00001,103,Nova,77.35,111.18,2179,0.77,2022-12-25,Y
2,SKU-0000002,Apex Product 00002,180,HomePro,925.83,1199.34,1514,4.21,2022-07-30,Y
3,SKU-0000003,Nova Product 00003,93,Apex,222.18,419.32,1145,3.61,2022-09-12,Y
4,SKU-0000004,StyleHub Product 00004,15,FreshDay,93.57,132.13,2535,2.16,2023-09-09,Y
5,SKU-0000005,Vistara Product 00005,107,Nova,163.6,351.5,2292,4.76,2023-05-26,Y
6,SKU-0000006,PrimeOne Product 00006,72,StyleHub,117.72,298.61,2434,2.14,2023-08-11,Y
7,SKU-0000007,PrimeOne Product 00007,189,PrimeOne,658.19,1298.92,2267,1.13,2025-06-11,Y
8,SKU-0000008,UrbanCart Product 00008,21,PrimeOne,379.88,832.09,1295,0.37,2025-11-14,Y
9,SKU-0000009,StyleHub Product 00009,103,Vistara,246.81,355.43,1806,0.23,2026-07-13,Y
10,SKU-0000010,Apex Product 00010,122,Vistara,769.05,1794.72,1313,0.61,2023-04-28,Y
11,SKU-0000011,HomePro Product 00011,211,Vertex,64.43,154.1,1568,1.05,2022-05-19,Y
12,SKU-0000012,StyleHub Product 00012,215,HomePro,329.74,802.15,1279,5.71,2026-05-20,Y
13,SKU-0000013,BookNest Product 00013,75,BookNest,268.41,645.57,1476,0.76,2023-03-03,N
14,SKU-0000014,Astra Product 00014,203,HomePro,133.3,213.5,2142,1.02,2024-02-03,Y
15,SKU-0000015,Apex Product 00015,88,UrbanCart,133.84,256.36,1533,1.19,2023-02-22,Y
16,SKU-0000016,Nexora Product 00016,117,Zenith,376.48,601.79,2586,1.07,2025-03-04,Y
17,SKU-0000017,Orion Product 00017,100,StyleHub,352.45,854.23,1473,3.75,2023-11-02,Y
18,SKU-0000018,Nova Product 00018,104,FreshDay,45.6,112.5,1211,2.62,2022-05-04,Y
19,SKU-0000019,Nova Product 00019,152,StyleHub,841.16,1789.69,1727,0.91,2022-11-08,Y
20,SKU-0000020,Apex Product 00020,131,UrbanCart,458.74,673.87,1587,0.55,2025-02-26,Y
21,SKU-0000021,PrimeOne Product 00021,150,FreshDay,127.31,167.24,2489,0.58,2022-12-23,Y
22,SKU-0000022,PrimeOne Product 00022,53,Apex,80.47,198.07,2739,0.93,2025-03-23,Y
23,SKU-0000023,Astra Product 00023,2,Vertex,445.59,742.59,2189,0.51,2025-08-01,Y
24,SKU-0000024,Nexora Product 00024,88,Nova,256.41,536.41,1479,1.87,2026-08-26,Y
25,SKU-0000025,Nova Product 00025,236,Astra,312.55,729.68,2406,0.53,2024-11-26,Y
26,SKU-0000026,Astra Product 00026,158,HomePro,274.18,581.14,1060,3.14,2024-02-17,Y
27,SKU-0000027,PrimeOne Product 00027,38,Orion,489.36,1264.3,2840,1.57,2023-12-10,Y
28,SKU-0000028,StyleHub Product 00028,130,StyleHub,354.37,702.63,2302,0.32,2022-04-24,Y
29,SKU-0000029,HomePro Product 00029,192,Nexora,101.44,199.06,1771,2.94,2026-02-26,Y
30,SKU-0000030,StyleHub Product 00030,188,FreshDay,96.23,196.67,1587,0.31,2022-01-04,Y
31,SKU-0000031,Astra Product 00031,21,BookNest,225.96,434.67,1208,3.27,2023-12-12,Y
32,SKU-0000032,Orion Product 00032,161,StyleHub,1287.9,2932.3,1036,1.64,2024-01-28,Y
33,SKU-0000033,PrimeOne Product 00033,204,HomePro,143.34,359.76,1604,5.44,2023-10-01,Y
34,SKU-0000034,Vertex Product 00034,58,PrimeOne,227.42,560.12,2157,0.12,2023-09-19,Y
35,SKU-0000035,Nexora Product 00035,22,UrbanCart,366.92,684.83,2774,1.01,2023-03-21,Y
36,SKU-0000036,Vistara Product 00036,236,Zenith,112.47,280.58,1411,0.89,2023-04-13,Y
37,SKU-0000037,FreshDay Product 00037,89,Astra,336.21,457.11,1647,0.55,2023-10-09,Y
38,SKU-0000038,FitMax Product 00038,49,BookNest,166.1,324.81,1734,2.0,2022-06-26,Y
39,SKU-0000039,Nova Product 00039,219,Astra,505.18,953.5,2171,0.7,2025-03-11,Y
40,SKU-0000040,FreshDay Product 00040,59,PrimeOne,70.1,102.1,1911,2.87,2026-08-15,Y
41,SKU-0000041,FreshDay Product 00041,170,Nexora,1316.19,3389.85,2420,0.43,2023-07-17,Y
42,SKU-0000042,UrbanCart Product 00042,220,Vistara,123.81,314.46,2275,0.2,2023-05-17,Y
43,SKU-0000043,StyleHub Product 00043,188,HomePro,262.26,302.28,2526,0.5,2022-01-31,Y
44,SKU-0000044,Orion Product 00044,208,FreshDay,164.74,317.9,1506,1.43,2025-02-27,Y
45,SKU-0000045,Zenith Product 00045,15,Astra,62.13,85.17,2614,2.02,2024-08-25,Y
46,SKU-0000046,Vistara Product 00046,190,Apex,347.21,570.31,2267,0.42,2025-01-19,Y
47,SKU-0000047,UrbanCart Product 00047,190,Apex,129.3,210.91,1829,1.37,2022-06-20,Y
48,SKU-0000048,PrimeOne Product 00048,175,Vistara,263.26,434.17,1972,1.2,2025-06-30,Y
49,SKU-0000049,FreshDay Product 00049,190,Nova,79.47,157.67,2390,1.07,2025-01-16,Y
50,SKU-0000050,Zenith Product 00050,51,Vertex,129.82,246.14,1449,3.66,2023-11-22,Y
51,SKU-0000051,Apex Product 00051,108,Vistara,125.84,229.42,1119,0.72,2023-03-30,Y
52,SKU-0000052,Apex Product 00052,55,StyleHub,269.23,513.45,2332,0.43,2024-02-18,N
53,SKU-0000053,Orion Product 00053,244,Nexora,216.39,436.54,1633,0.96,2023-11-20,N
54,SKU-0000054,Apex Product 00054,64,Apex,139.92,212.08,1211,0.79,2023-06-12,N
55,SKU-0000055,Zenith Product 00055,249,StyleHub,117.57,274.19,1283,1.86,2025-02-13,Y
56,SKU-0000056,FitMax Product 00056,131,Astra,217.77,424.83,2277,0.91,2024-01-03,Y
57,SKU-0000057,Zenith Product 00057,229,Apex,195.97,300.27,2553,1.11,2025-04-07,Y
58,SKU-0000058,Nexora Product 00058,51,Orion,184.2,257.7,2286,0.72,2024-07-14,Y
59,SKU-0000059,Vistara Product 00059,135,Vertex,965.27,2181.83,1276,0.15,2023-03-05,Y
60,SKU-0000060,FreshDay Product 00060,21,FitMax,269.55,515.54,2064,1.05,2023-06-12,Y
61,SKU-0000061,Nova Product 00061,73,Zenith,926.7,1314.13,2446,2.33,2025-06-05,Y
62,SKU-0000062,StyleHub Product 00062,167,FitMax,154.08,364.5,1968,1.44,2025-12-09,Y
63,SKU-0000063,Vertex Product 00063,18,HomePro,157.03,340.17,2532,0.27,2024-10-31,Y
64,SKU-0000064,Astra Product 00064,132,Orion,104.08,169.08,2387,0.69,2025-05-19,Y
65,SKU-0000065,Apex Product 00065,89,HomePro,215.23,334.16,1905,0.74,2025-09-19,N
66,SKU-0000066,BookNest Product 00066,60,Nova,122.35,179.78,1542,1.41,2026-01-26,Y
67,SKU-0000067,Orion Product 00067,14,PrimeOne,107.63,134.92,2833,1.02,2026-03-24,Y
68,SKU-0000068,Apex Product 00068,242,FreshDay,29.66,74.72,1460,0.08,2024-02-19,Y
69,SKU-0000069,Astra Product 00069,250,Orion,613.55,1557.16,1452,0.4,2024-09-29,Y
70,SKU-0000070,Vistara Product 00070,9,Nova,116.17,201.73,2338,0.68,2024-05-05,Y
71,SKU-0000071,FitMax Product 00071,90,FreshDay,618.61,795.15,2653,0.54,2022-03-02,Y
72,SKU-0000072,HomePro Product 00072,53,Nova,150.41,247.31,1359,0.77,2023-10-15,Y
73,SKU-0000073,Nexora Product 00073,130,HomePro,292.99,489.88,2257,0.62,2026-01-29,Y
74,SKU-0000074,BookNest Product 00074,84,Zenith,175.36,267.68,1933,0.75,2022-06-12,Y
75,SKU-0000075,FitMax Product 00075,92,PrimeOne,238.23,308.63,2066,1.7,2024-01-03,Y
76,SKU-0000076,Zenith Product 00076,111,UrbanCart,66.15,85.81,2251,2.3,2025-09-03,Y
77,SKU-0000077,Nexora Product 00077,188,StyleHub,475.38,1193.66,2921,0.8,2022-01-20,Y
78,SKU-0000078,PrimeOne Product 00078,199,BookNest,117.9,271.42,1645,1.45,2026-05-09,Y
79,SKU-0000079,StyleHub Product 00079,172,Vistara,377.33,561.51,2356,1.27,2022-03-08,N
80,SKU-0000080,Apex Product 00080,8,Astra,44.05,96.22,1668,2.71,2023-01-17,Y
81,SKU-0000081,Nova Product 00081,175,Nexora,83.17,102.46,2515,1.55,2024-05-21,Y
82,SKU-0000082,HomePro Product 00082,35,Nexora,229.2,347.78,1205,4.73,2024-05-12,Y
83,SKU-0000083,PrimeOne Product 00083,206,StyleHub,141.56,304.32,2949,1.58,2026-07-14,Y
84,SKU-0000084,FreshDay Product 00084,81,FitMax,247.44,508.61,1088,0.25,2023-08-06,Y
85,SKU-0000085,Vistara Product 00085,164,FitMax,197.71,406.53,1935,2.65,2023-09-22,Y
86,SKU-0000086,Apex Product 00086,50,StyleHub,849.93,1438.46,2122,1.89,2023-12-02,Y
87,SKU-0000087,FitMax Product 00087,104,HomePro,266.75,431.45,2060,1.86,2024-10-09,Y
88,SKU-0000088,PrimeOne Product 00088,132,Nexora,111.12,191.3,1373,0.32,2022-11-02,Y
89,SKU-0000089,FitMax Product 00089,2,UrbanCart,115.13,180.17,2414,2.17,2025-04-25,Y
90,SKU-0000090,Apex Product 00090,134,Vistara,484.79,617.25,2457,1.99,2025-04-14,Y
91,SKU-0000091,Orion Product 00091,54,Nexora,41.45,59.77,2509,0.3,2023-06-13,Y
92,SKU-0000092,Vistara Product 00092,106,Vistara,271.31,330.07,2937,1.6,2024-03-30,Y
93,SKU-0000093,Vertex Product 00093,4,Astra,60.09,84.03,1391,1.14,2025-05-07,Y
94,SKU-0000094,HomePro Product 00094,54,HomePro,445.1,695.15,1710,0.91,2024-12-10,Y
95,SKU-0000095,FitMax Product 00095,221,StyleHub,111.16,183.82,1993,0.85,2023-08-04,Y
96,SKU-0000096,Zenith Product 00096,191,Nexora,263.38,661.88,2379,0.2,2023-08-23,Y
97,SKU-0000097,UrbanCart Product 00097,146,HomePro,169.61,393.04,1054,0.86,2023-12-20,Y
98,SKU-0000098,Zenith Product 00098,218,PrimeOne,47.09,89.05,2640,1.68,2026-01-13,Y
99,SKU-0000099,Zenith Product 00099,44,Nova,291.86,614.37,1943,0.47,2023-11-28,Y
100,SKU-0000100,PrimeOne Product 00100,162,Nexora,85.73,120.03,1754,0.86,2024-06-29,Y
101,SKU-0000101,HomePro Product 00101,202,Vistara,337.53,652.99,1585,0.6,2022-03-26,Y
102,SKU-0000102,Vistara Product 00102,190,Nova,66.57,154.06,1313,0.64,2023-09-05,N
103,SKU-0000103,StyleHub Product 00103,228,Zenith,203.95,281.05,2127,0.21,2025-09-19,Y
104,SKU-0000104,BookNest Product 00104,14,StyleHub,169.89,387.62,2756,1.53,2023-10-04,Y
105,SKU-0000105,HomePro Product 00105,95,Nexora,95.36,171.35,1015,0.92,2022-08-05,Y
106,SKU-0000106,HomePro Product 00106,48,,567.8,818.21,2432,0.47,2024-03-05,Y
107,SKU-0000107,Apex Product 00107,15,BookNest,169.05,206.89,1028,2.36,2022-02-21,Y
108,SKU-0000108,Nexora Product 00108,200,Orion,112.23,284.62,1775,1.8,2023-09-21,Y
109,SKU-0000109,HomePro Product 00109,206,Nova,214.62,301.0,1355,0.86,2023-07-17,Y
110,SKU-0000110,UrbanCart Product 00110,215,Nexora,44.25,102.73,2402,2.46,2023-11-09,Y
111,SKU-0000111,Astra Product 00111,249,PrimeOne,1490.0,2876.75,1694,3.21,2024-06-03,Y
112,SKU-0000112,StyleHub Product 00112,190,Astra,61.74,153.42,1563,0.43,2024-11-08,Y
113,SKU-0000113,PrimeOne Product 00113,40,FreshDay,269.51,631.09,1510,0.37,2023-09-10,N
114,SKU-0000114,UrbanCart Product 00114,213,Nova,173.3,260.11,1346,0.15,2024-10-04,Y
115,SKU-0000115,Vertex Product 00115,208,Astra,474.56,1227.08,1844,0.51,2022-06-07,Y
116,SKU-0000116,Orion Product 00116,237,Vertex,192.51,330.57,1921,0.66,2023-05-12,Y
117,SKU-0000117,Vistara Product 00117,82,Vistara,92.35,215.18,2641,0.25,2022-03-15,Y
118,SKU-0000118,BookNest Product 00118,111,Zenith,30.81,79.44,2526,0.46,2026-08-04,Y
119,SKU-0000119,HomePro Product 00119,53,Orion,33.05,52.66,1024,1.64,2025-12-24,Y
120,SKU-0000120,StyleHub Product 00120,24,PrimeOne,132.39,295.44,1091,1.12,2025-07-22,Y
121,SKU-0000121,Astra Product 00121,154,FitMax,563.02,788.32,1328,0.49,2022-05-27,Y
122,SKU-0000122,PrimeOne Product 00122,217,FitMax,36.42,73.36,2912,2.44,2023-04-30,N
123,SKU-0000123,HomePro Product 00123,188,Zenith,866.47,1515.69,2561,0.31,2025-12-19,Y
124,SKU-0000124,Zenith Product 00124,124,Orion,436.26,708.41,1971,1.35,2022-09-28,N
125,SKU-0000125,FitMax Product 00125,237,HomePro,48.72,62.71,1601,0.75,2026-07-02,N
