return_id,order_id,return_date,return_reason,return_status,refund_method,refund_amount
1,3087,2025-06-10,Damaged,Approved,Original Payment,1953.16
2,238372,2022-11-27,Wrong Item,Approved,Wallet,9654.41
3,241690,2023-01-13,Late Delivery,Approved,Original Payment,10993.47
4,407418,2022-07-08,Late Delivery,Approved,Wallet,9767.77
5,411997,2023-11-19,Wrong Item,Approved,Bank Transfer,5074.23
6,275685,2024-02-08,Wrong Item,Approved,Bank Transfer,5038.76
7,466488,2023-09-14,Not as Expected,Approved,Original Payment,9108.45
8,234853,2022-08-19,Wrong Item,Approved,Wallet,10689.2
9,142623,2026-05-22,Quality Issue,Rejected,Wallet,2663.83
10,176230,2024-05-05,Size Issue,Rejected,Original Payment,6529.88
11,414169,2022-02-11,Wrong Item,Approved,Original Payment,4490.28
12,86170,2025-03-11,Late Delivery,Approved,Wallet,6086.37
13,401969,2025-03-09,Not as Expected,Approved,Bank Transfer,4832.35
14,83476,2025-01-31,Changed Mind,Approved,Wallet,5870.91
15,406964,2025-01-04,Size Issue,Rejected,Original Payment,3264.05
16,348896,2023-01-05,Not as Expected,Rejected,Wallet,5270.42
17,409843,2022-01-29,Size Issue,Approved,Bank Transfer,7342.29
18,400406,2022-07-06,Not as Expected,Approved,Original Payment,13750.57
19,428181,2024-07-16,Late Delivery,Approved,Wallet,13290.71
20,169898,2026-01-10,Wrong Item,Approved,Original Payment,6511.85
21,418703,2022-12-28,Changed Mind,Approved,Bank Transfer,6806.43
22,198390,2023-11-23,Changed Mind,Approved,Bank Transfer,4249.0
23,364150,2023-01-02,Wrong Item,Approved,Bank Transfer,6514.59
24,44975,2025-06-27,Late Delivery,Processing,Original Payment,14995.56
25,444851,2025-12-06,Quality Issue,Approved,Original Payment,10591.45
26,485189,2026-05-03,Changed Mind,Rejected,Original Payment,8566.22
27,332292,2026-01-06,Wrong Item,Approved,Wallet,2327.79
28,27025,2025-07-30,Changed Mind,Approved,Wallet,7614.41
29,473123,2025-03-17,Late Delivery,Rejected,Original Payment,13239.05
30,152377,2023-03-12,Damaged,Approved,Wallet,2530.86
31,293945,2025-03-04,Size Issue,Approved,Original Payment,14890.17
32,148401,2022-12-14,Quality Issue,Approved,Original Payment,7264.31
33,139527,2022-07-26,Wrong Item,Rejected,Wallet,10290.3
34,381057,2024-05-13,Wrong Item,Processing,Original Payment,12670.42
35,409445,2022-05-05,Not as Expected,Rejected,Wallet,5502.38
36,126285,2022-12-21,Not as Expected,Rejected,Original Payment,3496.99
37,374499,2023-01-26,Wrong Item,Processing,Wallet,614.16
38,46995,2023-03-13,Quality Issue,Processing,Original Payment,612.48
39,317947,2025-02-06,Size Issue,Approved,Original Payment,8779.61
40,28952,2026-01-08,Late Delivery,Approved,Bank Transfer,6119.06
41,321825,2024-12-15,Size Issue,Approved,Wallet,12800.03
42,421711,2026-01-16,Late Delivery,Approved,Original Payment,13099.64
43,409818,2025-07-11,Not as Expected,Rejected,Wallet,6687.33
44,16446,2022-09-02,Quality Issue,Approved,Original Payment,11479.86
45,236723,2022-06-11,Changed Mind,Rejected,Original Payment,11876.04
46,159719,2026-01-09,Size Issue,Approved,Original Payment,2517.11
47,234030,2022-12-30,Late Delivery,Approved,Original Payment,9446.31
48,109141,2025-02-20,Wrong Item,Approved,Wallet,419.48
49,201395,2024-02-13,Late Delivery,Approved,Bank Transfer,5962.52
50,98316,2022-08-11,Wrong Item,Approved,Bank Transfer,8519.28
51,399900,2024-04-29,Wrong Item,Approved,Wallet,13738.46
52,298844,2024-06-25,Quality Issue,Approved,Bank Transfer,9076.97
53,160540,2024-03-27,Damaged,Rejected,Wallet,9275.46
54,160039,2025-08-21,Wrong Item,Rejected,Original Payment,12204.69
55,351003,2025-11-10,Not as Expected,Approved,Original Payment,9792.93
56,447762,2024-02-19,Wrong Item,Approved,Wallet,8790.76
57,197080,2023-03-16,Wrong Item,Rejected,Bank Transfer,822.6
58,343504,2026-04-07,Wrong Item,Approved,Wallet,6547.05
59,307533,2025-08-01,Damaged,Approved,Bank Transfer,4555.59
60,269746,2022-04-28,Damaged,Approved,Original Payment,3296.64
61,463979,2024-01-11,Not as Expected,Approved,Wallet,10322.55
62,75802,2023-09-14,Size Issue,Approved,Wallet,2722.91
63,367412,2026-08-19,Not as Expected,Rejected,Bank Transfer,13790.47
64,377336,2025-10-07,Wrong Item,Processing,Wallet,10449.26
